ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B08H6P5677,Mr Makhana,297,448,578.00,235.00,1408.39,1206.82,1158.17,1151.32,236.62,74.70%,293,0.00%,0.00%,95.76%,100.00%,150.84%,2.68,34.34%,410.07,0.91,9.14%,76.64%,69.64%,60.41%,78.20
B001OY2T1O,Gerber,915,248,171.00,58.00,927.38,1190.23,1181.45,1176.84,0,13.87%,814,1.64%,1.64%,99.11%,11.86%,27.10%,4.78,(19.61)%,-230.80,-0.93,(13.46)%,25.15%,28.53%,84.06%,98.30
B005FBKVZ8,Dilmah,637,229,240.00,82.00,1318.58,1177.52,1173.17,1213.16,423.73,26.60%,572,8.98%,8.98%,90.53%,100.00%,35.95%,5.33,(9.86)%,-118.66,-0.54,(1.92)%,29.32%,29.88%,59.62%,82.50
B000WHS8M8,Gerber,467,223,215.00,8.00,1240.34,1167.40,1167.17,1162.04,318.58,26.55%,450,11.13%,11.13%,58.13%,51.61%,47.75%,5.21,1.76%,20.87,0.09,(10.70)%,34.29%,37.96%,73.90%,80.70
B07P76G5DQ,American Classic,1883,441,252.00,3.00,617.47,1163.32,1135.65,1138.45,0,21.72%,1860,0.48%,0.48%,106.25%,100.00%,23.42%,2.64,(29.49)%,-346.80,-0.79,7.32%,18.37%,17.03%,24.86%,90.00
B094P139XJ,Red Band,818,728,1069.00,189.00,1338.78,1150.07,1144.05,1143.27,217.12,43.53%,775,7.82%,7.82%,59.85%,62.87%,89.00%,1.57,(23.95)%,-287.07,-0.39,20.29%,32.75%,26.11%,52.25%,78.70
B07PBKVNXH,Tippys,664,680,472.00,0.00,385.51,1149.34,1162.25,1160.66,0,61.15%,645,2.11%,2.11%,10.28%,77.98%,102.41%,1.69,(73.26)%,-986.77,-1.45,51.53%,22.66%,10.98%,100.00%,60.00
B07NF69CGR,Bundaberg,181,416,411.00,108.00,1286.80,1131.64,1140.87,1142.09,0,(4.58)%,136,6.10%,6.10%,58.33%,100.00%,229.83%,2.72,(35.43)%,-415.25,-1.00,(15.09)%,9.71%,11.18%,60.00%,0.00
B07MXFKJVH,La Molisana,713,516,592.00,253.00,1576.28,1106.77,1037.40,1088.13,378.69,27.13%,707,0.00%,0.00%,70.20%,98.59%,72.37%,2.23,(33.02)%,-347.58,-0.70,(19.57)%,44.05%,52.66%,0.00%,92.00
B07HNSPY84,Dilmah,360,190,204.00,52.00,1394.04,1088.06,1092.86,1130.99,696.50,28.92%,359,0.00%,0.00%,80.00%,100.00%,52.78%,5.91,(0.19)%,-2.13,-0.01,(15.47)%,38.52%,44.48%,0.00%,81.00
B087GM5T2G,Elvan,615,231,331.00,143.00,1816.73,1078.97,1046.06,1046.17,628.16,27.13%,582,13.84%,13.84%,63.55%,100.00%,37.56%,4.67,(7.81)%,-84.86,-0.37,(17.51)%,40.96%,48.13%,84.10%,85.70
B00L2ZKHOG,American Garden,1140,180,391.00,27.00,2007.66,1072.74,1073.58,1025.77,0,24.94%,907,14.17%,14.17%,62.47%,59.42%,15.79%,5.68,(14.57)%,-164.59,-0.87,9.53%,18.14%,16.41%,51.32%,83.00
