ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B00C7CHKJI,UNKNOWN,27,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GLTWHH,Elvan,19,-8,0.00,0.00,0.00,0,0.00,-9.24,0,0.00%,0,100.00%,100.00%,0.00%,100.00%,(42.11)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C9C3GQ1F,Nabil,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07MWHWX5M,UNKNOWN,81,0,0.00,34.00,0.00,0,0,0,0,0.00%,76,38.27%,38.27%,96.66%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,55.90
B0F1438DCC,Mr Makhana,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,8,100.00%,100.00%,85.71%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,74.40
B07576C6TL,UNKNOWN,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,4,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,40.00
B001GPM1TG,AriZona,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,6,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,79.50
B0881MGFQR,ZPC,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0DG8MBCQW,Meher,0,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881M228T,Pusan,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MC77B,Shahrzad,12,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MF1WF,Aras,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL3GHQ,Bazooka,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,6,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,80.70
B07HCS9RM6,Elvan,19,0,0.00,2.00,0.00,0,0,0,0,0.00%,19,52.63%,52.63%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.20
B0CV7D3D61,Zeeba,6,1,28.00,0.00,83.17,0,0.00,3.66,0,0.00%,4,50.00%,50.00%,0.00%,100.00%,16.67%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,76.90
B08L4SLJZB,Lady Liberty,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B084TG3R4S,Schogetten,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086X43F1Y,Ulker,15,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881M9ZH4,Eti,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMBZDM,Palazi,44,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08KZ6FMY9,UNKNOWN,6,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,6,83.33%,83.33%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,73.40
B0881M8KCG,Palazi,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07PG99542,UNKNOWN,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GK46S9,Fiorella,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMG876,Nabil,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMDHYW,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09T3LYD6H,UNKNOWN,232,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00LRAPDKO,Ambrosia,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,59.10
B087GK2SWX,Tatawa,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00MZF0SWS,Betty Crocker,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B079HGYWRM,Gerber,14,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B01L774IH0,Hectare's,5,0,1.00,2.00,1.36,0,0,0,0,0.00%,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,80.80
B087GL6V26,Swasco,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MFXZW,Eti,18,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07YHWS8W3,Cala,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.00
B07NZWMYDH,Cala,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,52.50
B0F2PLGL7X,Cheerios,22,0,5.00,5.00,45.43,0,0,0,0,0.00%,22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.00
B0D8PXHTBC,UNKNOWN,3,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,2,66.67%,66.67%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B004Z2N93E,Cala,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,75.80
B0968QQR6Z,Solen,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0B21STJX4,Glebe Farm the taste of gluten freedom,10,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B085V4N93R,Lady Liberty,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,69.20
B0C7CPNQ2G,Dr. Pepper,32,0,20.00,1.00,39.48,0,0,0,0,0.00%,31,78.13%,78.13%,8.62%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,76.00
B087GKYZFQ,Cagla,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08L4MWWWR,Lady Liberty,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJJZWX,La British,3,0,0.00,1.00,0.00,0,0,0,0,0.00%,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.70
B087GJMN4W,Bazooka,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07PCLVWH1,UNKNOWN,44,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM5T32,Elvan,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08LDHLYC1,Lady Liberty,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,62.50
B087GL43MM,Toren,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CJMFTG3X,Warheads,3,0,0.00,5.00,0.00,0,0,0,0,0.00%,3,100.00%,100.00%,0.00%,50.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B00TJO5VO8,UNKNOWN,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKF4KB,Santos,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B082XTRJHP,Yixin,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00ZDIHC50,Schogetten,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B088F8V76F,Freakin' Healthy,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B072L7FN98,Ulker,20,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B073P54R9F,Snyder's Of Hanover,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,63.40
B00D76WARU,Foster Clarks,50,0,0.00,28.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CGXXPZX3,UNKNOWN,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,57.40
B083VKZP1Z,Diamond,3,0,0.00,1.00,0.00,0,0,0,0,0.00%,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,50.00%,75.90
B01I2CF0NY,Al Rifai,20,0,89.00,53.00,222.19,0,0,0,0,0.00%,0,25.00%,25.00%,100.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B07NF7ZVHR,Coroli,21,0,4.00,4.00,29.95,0,0,0,0,0.00%,18,28.57%,28.57%,100.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,82.50
B083VK2HW5,Al Rifai,19,6,0.00,0.00,0.00,0,0.00,17.94,0,0.00%,14,63.16%,63.16%,100.00%,100.00%,31.58%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,75.90
B0D52NJ9WJ,Lotte,0,0,0.00,51.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B00MHVEBY6,UNKNOWN,79,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0120JR7KE,UNKNOWN,21,0,0.00,0.00,0.00,0,0,0,0,0.00%,7,28.57%,28.57%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,66.67%,0
B06Y67W9V8,UNKNOWN,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0D2P44PQ9,Tata Soulfull,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL4Q7F,Nabil,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0D2FB6XYQ,McVITIE'S,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07H8CRJVG,Elvan,13,0,0.00,17.00,0.00,0,0,0,0,0.00%,13,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,79.50
B0083TG0CC,Gerber,10,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0947FD6W2,UNKNOWN,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07FPPM9BK,Coroli,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B013VRUHX8,Sigma Beauty,2,0,1.00,1.00,18.46,0,0,0,0,0.00%,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,95.00
B00EC9IIY0,Guylian,55,0,0.00,155.00,0.00,0,0,0,0,0.00%,12,18.18%,18.18%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B0FGD59VBR,Candyland,0,0,5.00,5.00,4.53,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.70
B005ET1WL8,Eti,15,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0F9YVTR3X,UNKNOWN,4,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,3,100.00%,100.00%,0.00%,42.86%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,73.70
B087GJVRX9,Cagla,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0819XXWTS,MyBizcuit,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086WB3L34,General Mills,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08XPCR597,Staycool,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,47.50
B08B27B35N,Classic Cookie,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,71.70
B07P75SWJF,UNKNOWN,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09FX7MD5N,Florbu,30,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00GKX89QI,Whittaker,72,30,1.00,2.00,5.89,0,0.00,161.51,0,0.00%,55,90.28%,90.28%,9.63%,88.68%,41.67%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,89.66%,93.50
B07NF7W79W,Ulker,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B017O3EKUG,The Jelly Bean Factory,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07P67PSSD,Jack N Jill,17,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,0,55.56%,55.56%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B006LW5IGW,Witor's,45,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07FTKKZKR,UNKNOWN,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0DSTX717G,Cala,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B087GR8LDN,Alattar,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086BL3P2V,Bazooka,2,0,4.00,4.00,52.27,0,0,0,0,0.00%,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,100.00
B0881MNSB5,Shahrzad,10,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0BB429TQS,IPRO,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09YRPSF2K,Sunquick,17,0,0.00,0.00,0.00,0,0,0,0,0.00%,5,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.50
B0881MLVKD,Rico,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B015UY7HJM,KLF COCONAD,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07N1NL787,Alicafe,69,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJMN7S,Jewel Ring,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B01LCX3JTW,Hectare's,8,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,6,87.50%,87.50%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,76.70
B087GMTLXZ,Balaban Toto,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0987R58WT,Lago,12,7,0.00,56.00,0.00,0,0.00,21.86,0,0.00%,5,100.00%,100.00%,0.00%,0.00%,58.33%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,77.50
B083LJNBS9,Solen,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00TX9952I,McVITIE'S,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09DCYX3HY,UNKNOWN,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NQD5WWX,UNKNOWN,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMTLZM,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMFQ1B,Palazi,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,71.50
B0BTHY1KQM,Dr Pepper,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083VKCGYM,Foster Clarks,12,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,2,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B07G47SZ9G,Kuhne,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0BD61YTGZ,UNKNOWN,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,64.20
B00T2ZTDFC,Luke's,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07T8QQQW9,General Mills,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL9J8L,Americandy,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07P8B49JB,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00D2PL53Q,Gerber,24,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
