ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B00L28CLEW,American Garden,69,8,12.00,1.00,59.49,55.61,54.09,38.94,0,18.21%,62,63.77%,63.77%,25.00%,100.00%,11.59%,5.06,(18.46)%,-10.45,-0.95,1.94%,18.50%,18.14%,91.23%,97.00
B0793FD6BP,UNKNOWN,28,12,41.00,73.00,212.09,55.27,53.37,58.68,0,15.13%,28,0.00%,0.00%,26.67%,100.00%,42.86%,5.02,(17.74)%,-9.81,-0.89,(2.96)%,20.91%,21.53%,0.00%,73.00
B0CTHNT8ZV,Orion,50,13,8.00,3.00,26.14,55.23,53.11,53.11,0,37.73%,44,0.00%,0.00%,35.56%,100.00%,26.00%,4.25,18.86%,10.16,0.78,23.10%,24.01%,18.46%,0.00%,85.40
B07X3WNMKK,Rhythm 108,38,12,80.00,46.00,363.29,54.95,51.71,56.21,0,27.74%,37,26.32%,26.32%,79.17%,100.00%,31.58%,5.00,(9.01)%,-4.87,-0.44,9.10%,27.01%,24.55%,0.00%,76.70
B083VKCLGR,Tetley,59,21,263.00,145.00,859.23,54.59,54.22,60.85,0,7.59%,55,42.37%,42.37%,98.98%,100.00%,35.59%,3.03,(33.05)%,-18.92,-1.05,(7.72)%,14.27%,15.37%,85.45%,100.00
B07NR78MBN,UNKNOWN,16,17,5.00,5.00,27.23,54.55,54.55,54.55,3.59,59.27%,16,6.25%,6.25%,68.42%,100.00%,106.25%,3.21,26.04%,14.37,0.85,(69.69)%,76.00%,128.97%,100.00%,55.00
B07NHNK7KJ,La Molisana,23,15,16.00,23.00,47.48,53.60,52.09,49.84,0,24.94%,23,30.43%,30.43%,67.86%,100.00%,65.22%,3.35,(16.87)%,-9.14,-0.57,11.41%,19.13%,16.94%,0.00%,74.50
B0B8DLJMK1,American Garden,89,7,15.00,34.00,84.00,53.10,52.80,41.01,0,18.18%,86,0.00%,0.00%,66.67%,100.00%,7.87%,5.90,(19.24)%,-10.63,-1.18,5.08%,14.39%,13.66%,40.26%,100.00
B00L2ZLJQG,American Garden,29,39,0.00,47.00,0.00,53.09,53.12,53.12,0,23.93%,28,0.00%,0.00%,50.00%,100.00%,134.48%,1.36,(31.15)%,-17.33,-0.44,12.60%,17.55%,15.34%,0.00%,95.00
B07W49873M,Natures Choice,87,54,96.00,39.00,77.10,52.62,51.74,51.43,0,33.20%,85,35.63%,35.63%,100.00%,100.00%,62.07%,0.94,(90.72)%,-54.17,-0.97,14.53%,24.79%,21.18%,0.00%,83.70
B0055QCGWE,Skippy,60,6,0.00,0.00,0.00,52.51,51.46,35.00,0,35.73%,12,80.00%,80.00%,0.00%,0.00%,10.00%,5.83,3.26%,1.71,0.19,35.79%,2.16%,1.39%,100.00%,0
B07P76HLLL,American Garden,60,15,0.00,0.00,0.00,52.40,52.31,52.32,0,(27.70)%,45,4.35%,4.35%,0.00%,100.00%,25.00%,3.49,(86.01)%,-49.06,-3.27,(56.66)%,18.50%,28.98%,55.81%,97.00
B0CD87PVQV,Rhythm 108,40,9,57.00,33.00,258.85,52.22,50.13,47.00,0,33.04%,40,52.50%,52.50%,57.89%,100.00%,22.50%,5.22,12.23%,6.23,0.62,13.03%,27.59%,24.00%,0.00%,85.80
B07PCF1NF9,Al osra,85,18,290.00,174.00,776.11,52.09,50.27,50.63,0,14.99%,74,10.59%,10.59%,100.00%,100.00%,21.18%,2.89,(54.96)%,-29.24,-1.62,7.53%,11.84%,10.95%,42.62%,82.90
B083VKQWPQ,American Garden,80,4,12.00,35.00,67.20,51.21,51.21,22.19,0,15.74%,75,27.50%,27.50%,94.74%,100.00%,5.00%,5.69,(14.84)%,-7.97,-0.89,1.58%,14.39%,14.16%,66.13%,93.00
B07CF6XNTT,Elvan,97,10,48.00,64.00,253.26,50.89,50.28,52.87,0,20.16%,82,19.59%,19.59%,31.11%,100.00%,10.31%,5.09,(27.69)%,-14.92,-1.49,(3.69)%,24.15%,25.04%,0.00%,96.70
B00QH75VA4,Erko,293,33,37.00,16.00,28.21,50.46,46.41,54.51,0,64.35%,253,34.47%,34.47%,0.00%,100.00%,11.26%,1.80,2.18%,1.13,0.04,57.70%,28.32%,11.98%,100.00%,87.50
B083VKCGWQ,American Garden,33,9,12.00,0.00,43.42,50.25,52.21,37.07,0,28.33%,27,48.48%,48.48%,100.00%,100.00%,27.27%,4.19,(8.73)%,-4.65,-0.39,13.59%,18.50%,15.99%,0.00%,92.50
B01N57NHCL,UNKNOWN,24,7,11.00,3.00,55.28,49.54,49.54,45.70,0,83.58%,23,37.50%,37.50%,61.11%,100.00%,29.17%,6.19,43.08%,22.29,2.79,18.85%,78.39%,63.62%,0.00%,79.20
B002RQTC0O,PONS,17,2,0.00,0.00,0.00,49.18,49.18,49.18,0,30.02%,17,29.41%,29.41%,0.00%,100.00%,11.76%,24.59,14.00%,7.04,3.52,9.11%,23.00%,20.90%,0.00%,84.20
B07MTQB5Q7,American Garden,127,4,43.00,28.00,190.71,48.62,48.92,20.97,0,23.16%,112,49.61%,49.61%,88.37%,100.00%,3.15%,4.86,(9.30)%,-4.65,-0.46,8.79%,18.50%,16.87%,98.89%,100.00
B07PH3ZW8T,American Garden,28,8,0.00,1.00,0.00,48.22,45.48,45.50,0,20.45%,27,3.57%,3.57%,0.00%,0.00%,28.57%,6.03,(25.75)%,-12.10,-1.51,8.04%,18.50%,17.01%,44.44%,78.00
B091VQS1Q5,American Garden,66,3,60.00,54.00,434.03,47.89,47.51,23.44,0,25.34%,65,83.33%,83.33%,100.00%,100.00%,4.55%,7.98,(5.19)%,-2.52,-0.42,9.38%,18.50%,16.76%,92.31%,100.00
B087GNNH17,Zed,91,6,5.00,0.00,47.64,47.67,45.89,59.97,0,31.64%,88,100.00%,100.00%,0.00%,65.60%,6.59%,7.95,(25.87)%,-10.08,-1.68,(19.93)%,48.38%,58.02%,0.00%,77.50
B00L28CV3S,American Garden,242,11,61.00,35.00,234.83,47.44,47.30,43.56,0,18.15%,232,11.16%,11.16%,91.84%,100.00%,4.55%,3.95,(18.08)%,-8.92,-0.74,2.62%,18.50%,18.02%,34.72%,93.00
B00XW5AV18,Ching's Secret,200,37,20.00,24.00,22.65,46.69,46.74,46.94,0,23.88%,183,1.50%,1.50%,35.14%,100.00%,18.50%,1.26,(75.87)%,-39.16,-1.06,10.26%,16.02%,14.37%,31.33%,83.00
B08296B566,Ching's Secret,76,24,24.00,78.00,39.60,46.65,48.61,48.73,0,26.18%,76,0.00%,0.00%,0.00%,0.00%,31.58%,1.94,(36.55)%,-18.98,-0.79,15.13%,14.81%,12.57%,100.00%,78.70
B01L774SYS,Hectare's,21,45,17.00,17.00,23.14,46.31,41.27,60.94,0,29.63%,21,4.76%,4.76%,26.40%,100.00%,214.29%,1.54,(41.17)%,-17.87,-0.60,11.82%,32.54%,28.69%,100.00%,84.50
B087GKB9ZK,Rico,39,10,28.00,33.00,93.92,46.29,40.90,33.96,0,28.92%,36,0.00%,0.00%,0.00%,0.00%,25.64%,3.86,(20.19)%,-7.00,-0.58,13.06%,31.64%,27.51%,0.00%,77.50
B083VKXLY4,American Garden,321,8,72.00,64.00,403.22,45.52,44.38,44.39,0,17.29%,311,36.76%,36.76%,66.67%,100.00%,2.49%,5.69,(14.97)%,-6.90,-0.86,1.58%,18.50%,18.21%,49.15%,94.50
B087GMR5PG,Americandy,62,6,16.00,33.00,87.82,44.67,44.67,36.22,0,31.68%,60,27.42%,27.42%,0.00%,0.00%,9.68%,5.58,(10.93)%,-5.16,-0.64,1.69%,30.50%,29.99%,0.00%,87.50
B087GM3TH1,Americandy,46,6,13.00,53.00,71.35,44.67,45.87,37.45,0,31.68%,46,69.57%,69.57%,56.52%,100.00%,13.04%,5.58,(5.77)%,-2.78,-0.35,1.69%,30.50%,29.99%,0.00%,71.90
B075CSS7NV,Rhythm 108,35,9,57.00,42.00,258.85,43.47,38.59,38.62,0,16.15%,35,17.14%,17.14%,77.78%,100.00%,25.71%,4.83,(9.48)%,-3.67,-0.41,5.98%,24.23%,22.78%,0.00%,80.80
B07HFCZMBW,American Garden,72,10,5.00,1.00,25.37,43.45,43.45,52.14,0,23.85%,67,70.83%,70.83%,86.36%,100.00%,13.89%,5.43,1.69%,0.73,0.09,6.57%,18.50%,17.29%,88.52%,90.00
B01EE2KL76,WONDERFUL,16,5,6.00,1.00,39.53,42.83,42.83,42.83,0,40.77%,14,25.00%,25.00%,25.00%,100.00%,31.25%,8.57,20.94%,9.12,1.82,23.08%,23.00%,17.69%,0.00%,78.40
B079HNP18P,Gerber,28,11,10.00,1.00,37.49,42.65,42.65,42.38,0,27.72%,28,39.29%,39.29%,0.00%,0.00%,39.29%,3.88,(6.49)%,-2.81,-0.26,3.30%,25.25%,24.42%,67.86%,95.80
B0FGD6LT6T,Candyland,26,14,0.00,41.00,0.00,42.46,40.80,40.80,0,75.57%,26,0.00%,0.00%,0.00%,0.00%,53.85%,3.03,38.11%,16.45,1.17,14.54%,76.00%,64.95%,0.00%,78.70
B0DDCMJ6TT,Chings,46,16,27.00,70.00,52.85,42.42,41.97,42.00,0,36.01%,45,0.00%,0.00%,63.89%,100.00%,34.78%,2.65,(23.26)%,-10.49,-0.66,26.16%,15.97%,11.79%,33.33%,58.40
B00SKTCUZQ,Zed,28,-1,2.00,5.00,32.67,42.14,40.04,0.21,0,40.31%,27,0.00%,0.00%,0.00%,100.00%,(3.57)%,21.07,28.05%,11.42,5.71,22.48%,29.45%,22.83%,0.00%,85.70
B00145AQQI,UNKNOWN,166,15,208.00,0.00,453.03,41.47,40.98,36.22,0,82.17%,155,50.00%,50.00%,89.56%,32.21%,9.04%,2.44,19.71%,8.82,0.52,10.71%,81.35%,72.64%,0.00%,83.00
B07NFCKPTF,Coroli,37,4,4.00,0.00,32.67,41.18,41.18,41.18,0,28.59%,12,70.00%,70.00%,50.00%,100.00%,10.81%,10.29,(2.54)%,-1.10,-0.27,20.66%,10.00%,7.93%,77.78%,0
B087GM7M5Q,Elvan,84,9,24.00,1.00,98.80,40.94,39.80,39.80,0,27.54%,69,44.05%,44.05%,28.21%,100.00%,10.71%,4.55,(6.75)%,-2.83,-0.31,9.52%,23.00%,20.81%,70.00%,75.90
B0881M4QM3,Elvan,24,3,2.00,1.00,23.59,40.69,40.69,40.69,0,33.05%,24,50.00%,50.00%,66.67%,100.00%,12.50%,13.56,6.69%,2.74,0.91,13.05%,23.00%,20.00%,0.00%,73.50
B08WGWRSHM,UNKNOWN,44,8,24.00,16.00,100.49,40.30,40.30,37.25,0,79.95%,44,22.73%,22.73%,100.00%,100.00%,18.18%,4.48,21.95%,9.43,1.05,6.50%,78.56%,73.45%,68.18%,66.60
B00L2ZKM0K,American Garden,89,12,478.00,240.00,1505.68,40.28,39.14,39.14,0,19.78%,19,3.37%,3.37%,74.38%,100.00%,13.48%,3.36,(45.81)%,-19.06,-1.59,6.16%,18.50%,17.36%,75.76%,0
B087GN5BKJ,Majami,49,14,44.00,29.00,107.33,40.27,37.37,34.69,0,19.66%,45,40.82%,40.82%,0.00%,0.00%,28.57%,2.68,(24.97)%,-9.71,-0.65,9.13%,23.74%,21.57%,0.00%,62.50
B07J3WYR89,Dilmah,46,18,18.00,18.00,45.92,40.20,39.98,44.29,14.80,26.42%,45,0.00%,0.00%,0.00%,100.00%,39.13%,2.51,(52.50)%,-16.98,-1.06,(1.53)%,28.06%,28.49%,0.00%,71.00
B087GK969D,Freakin Healthy,47,11,90.00,1.00,358.23,40.04,38.92,38.92,34.58,16.49%,33,51.06%,51.06%,100.00%,8.05%,23.40%,3.64,(18.60)%,-7.60,-0.69,(9.35)%,26.18%,28.63%,95.00%,98.50
B092WC3MTS,Bazooka,13,2,0.00,2.00,0.00,39.89,39.89,39.89,0,27.52%,12,0.00%,0.00%,0.00%,0.00%,15.38%,19.95,8.74%,3.58,1.79,5.87%,23.00%,21.65%,0.00%,87.50
