ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B0BF72D275, 2, 5,325,32550065,"Honey, Preserves & Spread",,Grocery, 225.8
B0C663CW31,,,325,32502020,"Herbs, Spices, Sea",,Grocery, 68.61
B07NF8WZRC, 40, 4,325,32599045,Biscuits,,Grocery, 409.96
B08C18B1L1, 207, 4,325,32502040,Oils & Vinegars,,Grocery, 12.42
B083VKCGYM, 4, 5,325,32501010,Baking Mixes,,Grocery, 13.13
B083VKRRWR, 3, 5,325,32595015,Vegetables,,Grocery, 37.09
B083VKML26, 22, 4,325,32592005,Tea,,Grocery, 670.6
B083VKDQ3Z, 6, 5,325,32592005,Tea,,Grocery, 140.33
B0CS35YCYH,,,325,UNKNOWN,UNKNOWN,,Grocery, 17.77
B00FHD9Y5W," 1,461", 4,325,32504015,Noodles,,Grocery," 2,719.17"
B01GFPSX0W, 765, 5,325,32504020,Cooking Sauces,,Grocery, 29.36
B004TRNK20, 45, 4,325,32599030,Chocolate,,Grocery, 231.6
B083VK72KB, 2, 4,325,32592005,Tea,,Grocery, 457.67
B00L305X8K, 130, 4,325,UNKNOWN,UNKNOWN,,Grocery, 266.45
B07576C6TY, 63, 4,325,32550085,Seasonings & Sauces,,Grocery, 520.02
B07NF7X5MY, 25, 4,325,32599030,Chocolate,,Grocery, 269.18
B083VKND7S, 3, 4,325,32592005,Tea,,Grocery, 4.29
B083VKND7T, 6, 4,325,32592005,Tea,,Grocery, 420.87
B00B73QIF0, 55, 5,325,32501050,Flours & Meals,,Grocery, 63.05
B083VKQWR6, 1, 5,325,32599020,Seeds & Dried Fruit,,Grocery, 82.54
B0FLDCQ5VK, 1, 5,325,UNKNOWN,UNKNOWN,,Grocery, 11.23
B083VKBHXM, 3, 3,325,32560035,"Condiments, Spreads & Cooking",,Grocery, 12.94
B07575JWZV, 49, 4,325,32598015,Noodles,,Grocery, 104.76
B00JOQS7FQ, 11, 4,325,32599015,Nuts,,Grocery, 160.15
B083VKML6B,,,325,32599020,Seeds & Dried Fruit,,Grocery, 54.62
B084PTC895, 1, 5,325,32502070,Spreads,,Grocery, 6.08
B015J4YNNG, 65, 4,325,32592005,Tea,,Grocery," 11,362.09"
B005FBKVZ8, 88, 4,325,UNKNOWN,UNKNOWN,,Grocery," 3,275.37"
B07N1PGTRF, 5, 4,325,32501040,Fillings,,Grocery, 38.34
B087GKZR5Z, 4, 4,325,32550065,"Honey, Preserves & Spread",,Grocery, 209.34
B0CZLC4GSB, 177, 4,325,32502030,Pickled Vegetables,,Grocery, 99.34
B00RUCFLR8, 302, 5,325,32592035,Fruit Juice,,Grocery, 232.94
B07NF7X3PH, 4, 3,325,UNKNOWN,UNKNOWN,,Grocery, 18.86
B07J3WYR89, 20, 4,325,UNKNOWN,UNKNOWN,,Grocery, 312.52
B000Z4MHNE," 2,930", 5,325,32502050,Cooking Ingredient,,Grocery," 2,619.89"
B07P8BSC97, 3, 5,325,32550045,Canned Goods,,Grocery, 22.69
B002DPXWBE, 400, 4,325,32502050,Cooking Ingredient,,Grocery, 6.71
B087GK61LY, 4, 5,325,32550065,"Honey, Preserves & Spread",,Grocery, 167.67
B09H6KZYJ9," 2,426", 4,325,32550085,Seasonings & Sauces,,Grocery, 53.5
B088FCK2WJ, 4, 3,325,32502020,"Herbs, Spices, Sea",,Grocery, 2.55
B00Y09JRZQ," 1,993", 4,325,UNKNOWN,UNKNOWN,,Grocery, 31.23
B083VL85MX, 9, 4,325,32592005,Tea,,Grocery, 445.46
B083VKCLB2,,,325,32502070,Spreads,,Grocery, 6.36
B07NF85QWR, 32, 3,325,32599015,Nuts,,Grocery, 543.79
B083VK9HYK, 3, 4,325,32502070,Spreads,,Grocery, 5.02
B07P83LFGN, 11, 4,325,32502040,Oils & Vinegars,,Grocery, 63.28
B07J3Y1ZTZ, 51, 4,325,UNKNOWN,UNKNOWN,,Grocery," 2,563.68"
B0095DQF2A, 43, 4,325,32599055,Desserts,,Grocery, 1.29
B001QBX8BU, 39, 5,325,32592005,Tea,,Grocery," 1,539.09"
B087GL22N1, 5, 5,325,32550065,"Honey, Preserves & Spread",,Grocery, 99.38
B083VKDQ3T,,,325,32502070,Spreads,,Grocery, 10.25
B0DDCMJ6TT, 3, 5,325,32504020,Cooking Sauces,,Grocery, 224.22
B083VKYVF4, 4, 4,325,32501020,Canned & Powdered Milk,,Grocery, 132.28
B0CYT6SRXZ, 6, 4,325,32592010,Coffee,,Grocery, 449.97
B0DBR4V7W7, 3, 4,325,UNKNOWN,UNKNOWN,,Grocery, 121.68
B076ZW73YZ, 6, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 49.94
B083VKKWRR,,,325,32502070,Spreads,,Grocery, 47.29
B07576B8PN, 16, 4,325,32598015,Noodles,,Grocery, 52.81
B083VKRS1R, 4, 5,325,32599015,Nuts,,Grocery, 182.42
B079H9C6R5, 771, 4,325,UNKNOWN,UNKNOWN,,Grocery, 91.25
B072RK9TG9, 179, 4,325,32599030,Chocolate,,Grocery," 1,603.28"
B083VKYQNB, 1, 2,325,32595015,Vegetables,,Grocery, 6.48
B01F3N8UNW, 81, 4,325,32501010,Baking Mixes,,Grocery, 2.29
B084CLC4YB, 34, 4,325,32592010,Coffee,,Grocery," 1,509.08"
B07FYM8FB2, 28, 4,325,UNKNOWN,UNKNOWN,,Grocery, 514.81
B0D8J4DGVC, 1, 5,325,UNKNOWN,UNKNOWN,,Grocery, 26.31
B07NF8RLW5, 31, 4,325,32599015,Nuts,,Grocery, 135.58
B07576C6TW, 73, 4,325,32504015,Noodles,,Grocery, 67.81
B01N0AHJ3U, 55, 4,325,32550045,Canned Goods,,Grocery, 310.43
B079H7X84W, 917, 4,325,32504015,Noodles,,Grocery, 256.65
B0095DQDH2, 26, 5,325,32599055,Desserts,,Grocery, 4.36
B083VJY5P9, 10, 5,325,32501010,Baking Mixes,,Grocery, 3.24
B075733JRQ, 65, 4,325,32504015,Noodles,,Grocery, 216.21
B07NF7G74H, 2, 5,325,32502040,Oils & Vinegars,,Grocery, 630.35
B09CWX9NDP, 688, 4,325,32500710,Ready Meals,,Grocery, 590.32
B083VKPXV2, 4, 4,325,32501020,Canned & Powdered Milk,,Grocery, 639.37
B083VKNDBM, 6, 4,325,32501010,Baking Mixes,,Grocery, 38.53
B083VKYVD9, 8, 5,325,32592005,Tea,,Grocery, 271.07
B0B8GMD5W2, 26, 4,325,32592005,Tea,,Grocery," 1,245.82"
B087GKZR61, 2, 5,121,12105102,Diet Supplements (Liquid),,Health & Personal Care, 44.3
B0757317DM, 8, 4,325,32598015,Noodles,,Grocery, 0.62
B07N1QW1L4, 177, 3,325,32501080,"Syrups, Sweeteners, Extracts & Vanilla",,Grocery, 587.47
B0749NNYF5, 454, 4,325,32502060,Seasonal Condiment,,Grocery," 1,164.18"
B07MQ16Q5L, 38, 4,325,32599045,Biscuits,,Grocery, 160.9
B07PCF1NF9, 43, 4,325,32501090,Sugar,,Grocery," 1,196.86"
B088FBXKL8, 8, 3,325,32502020,"Herbs, Spices, Sea",,Grocery, 8.02
B079GXSQC4, 936, 4,325,UNKNOWN,UNKNOWN,,Grocery, 42.91
B07GST9J7L, 90, 4,325,32592005,Tea,,Grocery, 394.55
B00A3KSCXY, 9, 4,325,32599015,Nuts,,Grocery," 1,285.41"
B008VSX352, 19, 4,325,32502070,Spreads,,Grocery, 38.21
B08296B566, 989, 4,325,32502050,Cooking Ingredient,,Grocery, 380.24
B0014CYR98, 750, 5,325,32501080,"Syrups, Sweeteners, Extracts & Vanilla",,Grocery," 7,281.32"
B00NRML2UK, 91, 5,325,32592005,Tea,,Grocery," 4,685.11"
B077ZCB3T7, 1, 5,325,32592005,Tea,,Grocery, 20.85
B083VL3R3L, 26, 4,325,32592005,Tea,,Grocery, 386.56
B07575VD7D, 721, 4,325,UNKNOWN,UNKNOWN,,Grocery, 155.07
B083VKVVK9, 7, 4,325,32599015,Nuts,,Grocery, 409.4
B07PQ5ZRZ7, 4, 5,325,32599015,Nuts,,Grocery, 195.07
B0847NL6J7, 22, 5,325,32501090,Sugar,,Grocery, 826.95
B0B4P7KK2N, 3, 5,325,32560030,Cold Beverages,,Grocery, 33.66
B06XFDSL4K, 6, 4,325,UNKNOWN,UNKNOWN,,Grocery, 71.49
B0011CZ7JK," 4,399", 5,325,32502010,Gravy & Stock,,Grocery, 67.31
B083VK2HWC, 13, 4,325,32599015,Nuts,,Grocery, 652.97
B08WXSNHL3, 160, 4,325,32504015,Noodles,,Grocery, 55.69
B07NF7KMMK, 17, 4,325,32599015,Nuts,,Grocery, 31.52
B0C8BBWN4X, 12, 4,325,32502060,Seasonal Condiment,,Grocery, 599.62
B0C6635B2K, 9, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 195.26
B08CHW751L, 102, 4,325,UNKNOWN,UNKNOWN,,Grocery, 75.8
B0DDCPPZK1, 1, 5,325,32502020,"Herbs, Spices, Sea",,Grocery, 59.22
B07NF7MFKX, 49, 5,325,32592005,Tea,,Grocery," 5,138.16"
B00NRML2XM, 34, 4,325,32592005,Tea,,Grocery," 5,197.44"
B083VK2HQM, 29, 5,325,32592005,Tea,,Grocery, 525.99
B083VK2HW5, 17, 3,325,32599015,Nuts,,Grocery, 448.73
B083VKVWG6, 3, 4,325,32599015,Nuts,,Grocery, 641.14
B083VKDQ3P, 81, 4,325,32592005,Tea,,Grocery," 3,268.06"
B088FH4VG8, 8, 5,325,UNKNOWN,UNKNOWN,,Grocery," 1,875.78"
B00Y09JC24," 4,984", 4,325,32550085,Seasonings & Sauces,,Grocery," 2,451.33"
B08C1CYV4B, 133, 4,325,32501095,Assorted Baking Supplies,,Grocery, 12.52
B0BF64YTQQ,,,325,32501020,Canned & Powdered Milk,,Grocery, 2.34
B083VKVVDL, 3, 4,325,32502070,Spreads,,Grocery, 17.33
B075S49GM4,,,325,32502050,Cooking Ingredient,,Grocery, 16.99
B00R2UOFWU, 21, 4,325,UNKNOWN,UNKNOWN,,Grocery," 2,878.06"
B07P6YJPPG, 69, 5,325,32502040,Oils & Vinegars,,Grocery," 20,674.14"
B08WXTP6C1, 145, 4,325,32504015,Noodles,,Grocery, 61.49
B07P75SDV2, 204, 5,325,32501080,"Syrups, Sweeteners, Extracts & Vanilla",,Grocery," 7,091.72"
B083VKYVD8, 1, 3,325,32502070,Spreads,,Grocery, 32.43
B08C1BXHZT, 121, 4,325,32502040,Oils & Vinegars,,Grocery," 1,793.13"
B083VK35V2, 5, 3,325,32502070,Spreads,,Grocery, 33.17
B0BX71DBTN, 8, 4,325,UNKNOWN,UNKNOWN,,Grocery, 74.99
B08ZQF4KQJ, 4, 4,325,32502040,Oils & Vinegars,,Grocery, 178.35
B0756YP6QH, 8, 5,325,32502050,Cooking Ingredient,,Grocery, 45.95
B07NF7H7DL, 19, 5,325,32501010,Baking Mixes,,Grocery, 8.81
B072BZJJN7, 183, 4,325,32501080,"Syrups, Sweeteners, Extracts & Vanilla",,Grocery," 1,108.4"
B075RYJS3F, 155, 4,325,32504015,Noodles,,Grocery, 73.42
B083VKBHX2, 1, 5,325,32502070,Spreads,,Grocery, 18.6
B079H7W8TZ," 5,190", 4,325,32502050,Cooking Ingredient,,Grocery, 187.57
B00OD85QW2, 5, 3,325,UNKNOWN,UNKNOWN,,Grocery, 173.52
B08CHXZ7ZT," 1,175", 4,325,32501095,Assorted Baking Supplies,,Grocery, 106.03
B0711KYX2S, 2, 5,325,32501010,Baking Mixes,,Grocery, 420.18
B01FMA8PRW, 196, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 653.86
B01JAY1OWY, 16, 4,325,32502050,Cooking Ingredient,,Grocery, 341.03
B081YZ6N84, 527, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 71.3
B083VKCZ15, 168, 5,325,32502040,Oils & Vinegars,,Grocery, 64.71
B07NF7QH9S, 7, 3,325,32599015,Nuts,,Grocery, 150.23
B01JAXTYKO, 6, 4,325,32504020,Cooking Sauces,,Grocery, 40.63
B07PKCQ275, 37, 5,325,32502040,Oils & Vinegars,,Grocery," 1,558.61"
B0CYT9BCRH, 6, 4,325,32592010,Coffee,,Grocery, 311.03
B083VL3P7G,,,325,32502070,Spreads,,Grocery, 9.42
B076QXVN8H, 17, 4,325,32502040,Oils & Vinegars,,Grocery, 22.53
B00345SZ00," 2,094", 4,325,32504015,Noodles,,Grocery, 114.61
B083VKZP1Z, 1, 3,325,32502070,Spreads,,Grocery, 13.93
B083VKDMN1, 7, 5,325,32592005,Tea,,Grocery, 432.15
B083VKPXST, 31, 4,325,32599015,Nuts,,Grocery, 620.52
B0735DQN34, 621, 4,325,32502060,Seasonal Condiment,,Grocery, 515.03
B07NF825YZ, 4, 4,325,32599015,Nuts,,Grocery, 490.28
B07P8QBGF6, 69, 4,325,32504010,Pasta,,Grocery," 1,322.63"
