ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B01ITV403Y,Eti,98,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B085V4TCBY,Carne Diem,36,0,0.00,0.00,0.00,0,0,0,0,0.00%,20,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.70
B0049B0OE8,Guylian,30,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07X2J77BB,INDIA GATE,728,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MS9C3,Mybizcuit,45,0,0.00,2.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM3THW,Elvan,215,1,88.00,35.00,362.25,0,0.00,5.67,0,0.00%,146,100.00%,100.00%,62.86%,53.44%,0.47%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,68.50
B07WTB6NW9,UNKNOWN,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B087GKVTFK,Quanwang,32,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B017A0B0XI,Ambrosia,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,64.10
B085V4NGG2,Lady Liberty,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKX9HX,Sungate,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00LRAPDKO,Ambrosia,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,59.10
B07RR6JJRC,Kelloggs,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B082S5F4FZ,Truffino,910,0,0.00,0.00,0.00,0,0.00,0.03,0,0.00%,253,100.00%,100.00%,0.00%,81.82%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B0CT2FZRXL,McVITIE'S,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM3TDN,Babol,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MJYLN,Maohuat,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00JWXAHNQ,POPCORNERS,8,8,0.00,0.00,0.00,0,0.00,24.54,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,100.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0042PCGBU,Betty Crocker,16,1,0.00,0.00,0.00,0,0.00,3.90,0,0.00%,6,100.00%,100.00%,0.00%,0.00%,6.25%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CH8RF9RZ,Barebells,91,0,0.00,0.00,0.00,0,0,0,0,0.00%,90,81.11%,81.11%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B00CTW64NE,Sugarpova,82,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKBJLR,Ani,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMN5CC,Nabil,87,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00K021R1O,Texas Tea,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.50
B07WWFJQCH,Cala,0,0,1.00,1.00,3.27,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,57.50
B01I2CF0NY,Al Rifai,228,-5,173.00,53.00,431.90,0,0.00,-15.53,0,0.00%,103,82.46%,82.46%,69.20%,93.28%,(2.19)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B07PCLVWH1,UNKNOWN,780,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0949J1YGX,Bazooka,252,0,0.00,0.00,0.00,0,0,0,0,0.00%,71,56.06%,56.06%,0.00%,96.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B092TPWVSW,Voda,17,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C9DC1D2Z,Little Freddie,13,-3,0.00,0.00,0.00,0,0.00,-8.45,0,0.00%,11,100.00%,100.00%,0.00%,100.00%,(23.08)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NQTBG2Y,Luke's,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,70.80
B005NPW9C4,Alattar,182,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07WWFD8JR,Cala,2,0,1.00,0.00,5.54,0,0,0,0,0.00%,2,50.00%,50.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM7M1V,Toren,74,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07PJ7R52Y,INDIA GATE,396,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJMN8P,Rico,54,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08TJ67VBQ,India Gate,141,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00H05PMGA,Ulker,10,0,265.00,158.00,253.96,0,0,0,0,0.00%,9,66.67%,66.67%,94.12%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,77.78%,67.50
B087GJMN4W,Bazooka,38,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJJZT7,Jacquet,15,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00R1BWKCC,India Gate,1772,0,0.00,0.00,0.00,0,0,0,0,0.00%,323,94.93%,94.93%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881M9ZHF,Cihan,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MS1FJ,Colombina,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07K12H1CL,Kelloggs,122,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKFJ5W,Toren,64,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0968R6PXP,Solen,28,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0BF7JSPM6,DIAMOND دايموند,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,48.20
B0881M9VB3,Al Douri,34,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08LTZKKSJ,Coroli,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B000RA8HCG,Gerber,523,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GLW2B8,Americandy,208,-10,0.00,0.00,0.00,0,0.00,-45.78,0,0.00%,81,100.00%,100.00%,0.00%,100.00%,(4.81)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MQFDN,Bisconni,164,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM4WQG,Pallas,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0B5V6HK6V,Cloetta,52,-1,0.00,0.00,0.00,0,0.00,-2.31,0,0.00%,43,100.00%,100.00%,0.00%,100.00%,(1.92)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B01CJX9XVW,Whole Earth,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GLVWZ4,Fineti,52,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B000RY87BS,Libby's,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MLVKX,Eti,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B008HF1QIK,Tilda,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08B289QV7,Classic Cookie,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM5T32,Elvan,29,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08FRG3ZJM,UNKNOWN,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00D2PLDIS,Gerber,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0FDPNPYHK,Little Freddie,16,0,34.00,4.00,231.42,0,0,0,0,0.00%,15,42.86%,42.86%,40.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B07B7BFLT3,Foster Clarks,19,0,30.00,4.00,60.03,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0039BXZ1S,Snyder's Of Hanover,35,4,0.00,0.00,0.00,0,0.00,21.23,0,0.00%,21,100.00%,100.00%,0.00%,0.00%,11.43%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C9DHGZ2W,Little Freddie,22,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,20,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL43MM,Toren,52,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MJGHY,Signature,17,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00XW5I728,India Gate,573,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07WT9YX5B,Cala,3,0,1.00,1.00,3.02,0,0.00,0.00,0,0.00%,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,77.90
B086WBS1GM,General Mills,39,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00X4URHPO,Eti,67,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00AJX54SG,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07PCMTSY8,UNKNOWN,718,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B085V4HPPM,Lady Liberty,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMRBTR,Erko,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJ684N,Pallas,47,0,0.00,2.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08L4Q8H7H,Lady Liberty,12,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0949H3YZW,Bazooka,42,0,0.00,0.00,0.00,0,0,0,0,0.00%,26,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B01KKVBDTU,Cala,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJPT4H,Danpak,2,0,0.00,3.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0968R95PZ,Solen,30,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881N34S1,Palazi,52,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MNVB6,Bisconni,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MNSBN,Eti,49,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00MODG1LI,Nerds,60,0,0.00,0.00,0.00,0,0,0,0,0.00%,7,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,87.50
B0881M4QM4,Elvan,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07QVMX9TN,Torku,230,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07WTB52H9,Cala,1,0,1.00,1.00,5.06,0,0,0,0,0.00%,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,75.00
B0FXLTR4K3,Mr Makhana,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.70
B087GLYW7G,Saadet,44,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083WN4HBD,Joico,29,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKD2P3,Sweet,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMV3TF,Speculoos,20,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08L4QCYK2,Lady Liberty,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GNLVZQ,Elvan,33,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CT2PKS2C,McVITIE'S,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B078M2KD7M,UNKNOWN,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086X31R6S,Ulker,29,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MCM6G,Elvan,178,0,32.00,0.00,248.29,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B015K1CCEU,Casa Del Dolce,59,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B004XUJPT0,Ericson Laboratoire,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00E8OOH26,UNKNOWN,29,0,1.00,1.00,2.31,0,0,0,0,0.00%,15,78.95%,78.95%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,75.90
B010R4BPY8,Gerber,103,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086WBPJXT,General Mills,47,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NF7Q7CF,Arcor,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07CM8J4NC,Cheerios,75,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MJGJ2,Saadet,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B002DPNSK4,UNKNOWN,0,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0977KZXYC,Barebells,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0DMP4PS9S,Jacobs,28,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,21,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B087GK9B4D,Fiorella,14,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0D87FCNJV,Beautiful Denmark,70,0,12.00,0.00,38.55,0,0,0,0,0.00%,69,2.90%,2.90%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NF7MP99,UNKNOWN,220,4,0.00,0.00,0.00,0,0.00,4.02,0,0.00%,91,62.50%,62.50%,0.00%,100.00%,1.82%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,47.40
B078M2GN7F,UNKNOWN,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0D7DKH666,UNKNOWN,298,0,30.00,0.00,212.36,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B078LXVBSZ,UNKNOWN,8,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09TPYJJD4,Pastry,747,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07HR1QJPC,Willie's Cacao,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B079HNF556,Gerber,88,-4,0.00,0.00,0.00,0,0.00,-11.41,0,0.00%,15,40.00%,40.00%,0.00%,0.00%,(4.55)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B0FDQ2TB3L,Little Freddie,9,0,47.00,1.00,319.90,0,0,0,0,0.00%,8,28.57%,28.57%,100.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087T1CR9Q,Green Farm,62,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00835D47A,Guylian,34,0,0.00,0.00,0.00,0,0,0,0,0.00%,26,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
