ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B00GKX89SQ,Whittaker,3198,1139,2782.00,746.00,16397.88,6373.61,5930.93,5951.23,2140.47,28.32%,2971,10.44%,10.44%,73.49%,99.95%,35.62%,5.60,(7.08)%,-416.59,-0.37,(5.24)%,38.15%,40.15%,69.06%,98.50
B07Z7GQJBF,Costa dÓro,2622,600,513.00,74.00,5237.47,6373.32,6083.44,6088.09,1678.33,27.42%,2513,26.88%,26.88%,41.71%,64.48%,22.88%,10.62,1.93%,118.53,0.20,3.89%,29.13%,28.00%,0.00%,84.20
B00L28D0QU,American Garden,7129,2001,4448.00,618.00,12180.31,6353.27,6117.07,6091.54,325.55,25.24%,6912,2.97%,2.97%,89.83%,92.46%,28.07%,3.16,(13.27)%,-834.72,-0.42,13.34%,18.37%,15.92%,74.38%,91.50
B000WHS8M8,Gerber,4597,1238,1551.00,8.00,8947.78,6217.39,6158.15,6142.79,467.45,13.97%,4235,2.47%,2.47%,94.31%,49.32%,26.93%,5.01,(18.22)%,-1129.13,-0.91,(15.24)%,26.87%,30.97%,60.37%,80.70
B019Z95UCO,General Mills,2027,841,959.00,29.00,7433.25,6180.94,6112.77,6124.94,510.61,20.20%,1847,7.77%,7.77%,94.80%,22.79%,41.49%,7.36,(8.04)%,-495.62,-0.59,(5.34)%,25.89%,27.27%,83.90%,0
B07CX3GRXV,General Mills,3463,874,990.00,0.00,7514.51,6153.57,5932.68,5930.54,1284.25,17.43%,2290,12.28%,12.28%,99.78%,16.00%,25.24%,7.03,(12.55)%,-749.12,-0.86,(7.93)%,27.11%,29.26%,82.88%,0
B08CSRN82W,Mr Makhana,2790,2430,2382.00,162.00,5804.13,6087.40,5854.14,5851.07,411.35,69.68%,2668,0.60%,0.60%,85.54%,100.00%,87.10%,2.50,23.51%,1412.94,0.58,2.61%,73.20%,71.28%,0.00%,83.20
B000R73XZ0,Bragg,5313,1071,1080.00,1.00,5660.14,6007.92,5891.20,5903.26,433.41,5.68%,4780,18.89%,18.89%,64.00%,95.24%,20.16%,5.61,(58.06)%,-3456.50,-3.23,4.40%,4.88%,4.67%,66.04%,95.00
B0BMQPP7SJ,Guylian,4119,1517,3474.00,925.00,14187.10,5894.99,5469.27,5427.13,707.94,16.47%,3236,20.10%,20.10%,70.70%,90.76%,36.83%,3.83,(19.26)%,-1085.66,-0.71,(6.62)%,28.47%,30.36%,78.32%,78.00
B07NF7MFKX,Tetley,1074,639,881.00,223.00,8470.68,5775.77,5704.59,5695.00,48.27,2.54%,927,25.81%,25.81%,78.50%,95.94%,59.50%,9.02,(33.25)%,-1805.61,-2.82,(6.54)%,9.61%,10.24%,79.97%,98.50
B005LLZ3QY,Tetley,1947,965,1613.00,426.00,9463.56,5770.48,5771.53,5786.47,10.22,10.94%,1697,19.74%,19.74%,67.47%,97.21%,49.56%,5.99,(24.57)%,-1436.11,-1.49,2.09%,9.54%,9.34%,99.93%,100.00
B087GH4M7T,Freakin' Healthy,2081,1648,1569.00,35.00,6270.14,5679.35,5346.55,5348.89,3937.98,27.87%,1968,5.72%,5.72%,100.00%,48.52%,79.19%,3.45,(8.50)%,-464.03,-0.28,(17.57)%,43.46%,51.09%,71.53%,94.20
B003ZZABKG,Fruit Roll-Ups,4771,1155,1338.00,25.00,6094.53,5637.14,5550.73,5601.86,803.61,30.11%,4589,4.86%,4.86%,78.58%,28.21%,24.21%,4.92,(2.66)%,-150.86,-0.13,7.35%,27.29%,25.28%,49.15%,89.20
B001OY2T1O,Gerber,3799,1186,1296.00,58.00,7028.57,5575.10,5513.95,5509.37,110.77,12.22%,3400,4.36%,4.36%,100.00%,34.25%,31.22%,4.70,(22.12)%,-1232.89,-1.04,(15.47)%,25.29%,29.21%,70.23%,98.30
B088F995XR,Freakin' Healthy,627,227,219.00,16.00,6081.59,5573.62,5507.51,5507.66,3115.99,30.19%,603,1.28%,1.28%,96.76%,94.32%,36.20%,24.55,14.90%,819.58,3.61,(13.10)%,38.79%,43.87%,0.00%,98.50
B093YYK5DK,Nabati,4860,1407,1632.00,280.00,6220.44,5367.73,5287.66,5293.85,1508.65,30.32%,4349,1.46%,1.46%,76.88%,100.00%,28.95%,3.82,(19.67)%,-1037.14,-0.74,0.09%,32.81%,32.78%,100.00%,85.00
B00X9MYZXO,Bazooka,2920,419,490.00,62.00,7203.81,5321.67,5259.34,5263.94,1692.06,22.39%,2872,11.34%,11.34%,61.12%,98.16%,14.35%,12.70,(1.83)%,-96.73,-0.23,(15.72)%,34.22%,39.60%,47.67%,95.00
B00CAUABOS,Gerber,2681,1062,1308.00,35.00,7545.91,5209.01,5170.25,5173.43,175.12,12.53%,2608,8.69%,8.69%,94.79%,63.75%,39.61%,4.90,(27.85)%,-1456.49,-1.37,(17.62)%,26.87%,31.61%,63.85%,85.80
B00NRML2XM,Dilmah,1663,586,594.00,0.00,4722.17,5157.14,5166.62,5170.10,154.66,30.62%,1555,8.06%,8.06%,85.80%,63.04%,35.24%,8.80,2.62%,136.66,0.23,9.67%,23.75%,21.46%,63.09%,0
B00XMYTY0S,Fruit Roll Up,2507,1054,1152.00,2.00,5233.74,5122.14,5046.77,5049.27,48.38,27.67%,2447,10.33%,10.33%,74.96%,29.93%,42.04%,4.86,(3.51)%,-179.89,-0.17,6.42%,25.72%,24.07%,0.00%,0
B08GD1Z9PS,Tata,954,524,491.00,4.00,4035.69,5067.57,5035.31,5047.60,412.70,26.51%,925,35.47%,35.47%,73.55%,98.33%,54.93%,9.69,0.77%,38.27,0.07,15.17%,14.57%,12.36%,78.26%,87.50
