ASIN,Brand Name,GV(Week 2 ),Net Ordered Units(Week 2 ),Net Receipts (Units)(Week 2 ),Total Inventory Units(Week 2 ),Net Receipts($)(Week 2 ),Product GMS($)(Week 2 ),Gross Shipped GMS($)(Week 2 ),Net Ordered GMS($)(Week 2 ),Deal GMS($)(Week 2 ),Net PPM(Week 2 )(%),Amzn GV(Week 2 ),SoROOS(%)(Week 2 )(%),Daily SoRoos%(Week 2 )(%),Fill Rate - Sourceable(Week 2 )(%),Vendor Confirmation Rate - Sourceable(Week 2 )(%),Conversion Rate(Week 2 )(%),ASP(Week 2 ),CM(Week 2 )(%),CP($)(Week 2 ),CPPU(Week 2 ),PPM(Week 2 )(%),CCOGS As A % Of PCOGS(Week 2 )(%),CCOGS As A % Of Revenue(Week 2 )(%),External Box Price Competitiveness (% Of GV)(Week 2 )(%),IDQ Score(Week 2 )
B00L28D0QU,American Garden,144,54,152.00,469.00,407.62,149.06,142.03,151.25,0,21.97%,136,0.69%,0.69%,52.17%,100.00%,37.50%,2.98,(38.20)%,-54.40,-1.09,10.05%,18.50%,16.64%,39.13%,91.50
B01285C2BY,TILDA,71,37,0.00,3988.00,0.00,148.72,146.47,146.05,0,22.71%,61,0.00%,0.00%,0.00%,100.00%,52.11%,4.02,(24.36)%,-37.11,-1.00,(4.99)%,27.82%,29.21%,24.14%,91.20
B07FSPH47X,Barebells,46,8,36.00,77.00,1218.87,147.66,117.38,249.31,0,17.75%,44,0.00%,0.00%,100.00%,100.00%,17.39%,36.91,5.50%,6.53,1.63,8.28%,32.68%,29.97%,100.00%,98.50
B07CZ83NQ4,General Mills,40,13,0.00,16.00,0.00,146.69,145.72,136.98,0,42.95%,40,0.00%,0.00%,0.00%,100.00%,32.50%,10.48,23.25%,34.31,2.45,24.57%,25.25%,19.05%,60.00%,89.50
B07Z7GQJBF,Costa dÓro,57,14,2.00,59.00,20.42,146.00,139.82,150.49,0,27.30%,57,0.00%,0.00%,0.00%,0.00%,24.56%,11.23,6.46%,9.18,0.71,9.09%,24.69%,22.45%,0.00%,84.20
B007TQG23C,Fruit Roll-Ups,36,19,0.00,1.00,0.00,145.27,143.81,143.81,0,53.24%,36,0.00%,0.00%,0.00%,0.00%,52.78%,7.65,25.97%,38.26,2.01,55.13%,0.00%,0.00%,100.00%,93.30
B087GM93C9,Americandy,160,36,0.00,241.00,0.00,139.57,132.75,148.46,0,24.83%,151,0.00%,0.00%,0.00%,100.00%,22.50%,4.36,(16.47)%,-22.84,-0.71,9.11%,24.72%,22.46%,0.00%,93.20
B091VPBF8Q,American Garden,291,32,53.00,180.00,235.06,134.32,126.80,144.11,0,19.40%,277,0.00%,0.00%,39.50%,100.00%,11.00%,4.80,(31.82)%,-41.32,-1.48,7.55%,18.50%,17.10%,10.91%,96.70
B0DWXBKCLF,QMINC,76,10,28.00,28.00,288.15,130.68,122.96,100.64,0,22.58%,65,42.11%,42.11%,0.00%,100.00%,13.16%,10.89,2.81%,3.42,0.28,5.50%,22.50%,21.26%,0.00%,81.50
B0B82WSFTV,Mr Makhana,39,122,550.00,1891.00,591.47,129.01,126.96,132.21,0,71.87%,38,0.00%,0.00%,100.00%,100.00%,312.82%,1.10,0.23%,0.30,0.00,2.47%,75.35%,73.49%,28.95%,78.20
